Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,STD
2020-01-21 00:00:00-05:00,159.42699742201413,160.87129987935694,159.187876045083,159.2548370361328,29517200,0.0,0.0,,,
2020-01-22 00:00:00-05:00,160.1156308297675,160.20172559744876,158.47047497240737,158.48960876464844,24138800,0.0,0.0,,,
2020-01-23 00:00:00-05:00,158.95833482557217,159.54179159095884,158.07836987684018,159.46527099609375,19680800,0.0,0.0,,,
2020-01-24 00:00:00-05:00,160.22085740927298,160.23999120302048,157.29401454266323,157.85833740234375,24918100,0.0,0.0,,,
2020-01-27 00:00:00-05:00,154.13761168474804,156.27058457014672,153.22895350134215,155.21844482421875,32078100,0.0,0.0,158.0572998046875,,
2020-01-28 00:00:00-05:00,156.65316784005094,158.5470047269759,155.9740714216462,158.26007080078125,24899900,0.0,0.0,157.85834655761718,,1.7104131789620844
2020-01-29 00:00:00-05:00,160.5365043029377,161.40690951031036,158.48006655302615,160.72779846191406,34754500,0.0,0.0,158.3059844970703,,1.5899026428235128
2020-01-30 00:00:00-05:00,166.4762914821117,166.4762914821117,163.35813964952982,165.2615509033203,51597500,0.0,0.0,159.46524047851562,,2.0581864157242022
2020-01-31 00:00:00-05:00,164.71636141485757,164.89808138591687,162.20080007747276,162.822509765625,36142700,0.0,0.0,160.45807495117188,,3.7835536199398048
2020-02-03 00:00:00-05:00,163.0138170046035,166.90672000096603,162.9851236071452,166.7919464111328,30107000,0.0,0.0,162.77277526855468,,3.9058171391951575
2020-02-04 00:00:00-05:00,169.43184279183268,172.77954207948474,168.6379580665265,172.28216552734375,36433300,0.0,0.0,165.5771942138672,,3.4240562972480086
2020-02-05 00:00:00-05:00,176.0219744326016,176.1845751691455,170.64653214932855,172.07168579101562,39186300,0.0,0.0,167.8459716796875,,4.405587914321044
2020-02-06 00:00:00-05:00,173.09516487611435,175.82115411774748,172.22475965498276,175.63941955566406,27751400,0.0,0.0,169.92154541015626,,4.200054916985236
2020-02-07 00:00:00-05:00,174.89338403459254,177.55241262575385,174.53947446597147,175.88812255859375,33529100,0.0,0.0,172.53466796875,,5.076426221170578
2020-02-10 00:00:00-05:00,175.59161409920688,180.62272269707182,175.27597212517577,180.4888153076172,35844300,0.0,0.0,175.27404174804687,83.8639340163065,3.6790658111376033
2020-02-11 00:00:00-05:00,182.35395123825236,182.4017784312968,175.5150858823938,176.4141845703125,53159900,0.0,0.0,176.10044555664064,71.2336608616392,3.42457539183024
2020-02-12 00:00:00-05:00,177.50454661181035,177.76280173355596,173.93686047134165,176.6724090576172,47062900,0.0,0.0,177.02059020996094,71.52632858633177,2.993524365951475
2020-02-13 00:00:00-05:00,175.113397519134,178.1263215297364,174.91252910751442,175.7159881591797,35295800,0.0,0.0,177.03590393066406,68.73689230789644,1.9816444307910945
2020-02-14 00:00:00-05:00,175.2759663048738,177.34197846912093,174.7020691720906,177.2845916748047,23149500,0.0,0.0,177.31519775390626,70.7515539546993,1.9685553195646008
2020-02-18 00:00:00-05:00,177.53326193956144,179.53231299331577,177.4280479580581,179.082763671875,27792200,0.0,0.0,177.03398742675782,72.90696617524338,1.8611326190153876
2020-02-19 00:00:00-05:00,180.36799896402007,180.48308606097604,178.8430363906472,179.61990356445312,29997500,0.51,0.0,177.67513122558594,73.53437491039628,1.2759607320486193
2020-02-20 00:00:00-05:00,179.30337848098907,179.59111082446526,173.69266363924064,176.87686157226562,36862400,0.0,0.0,177.7160217285156,65.22723334971653,1.6401054078455333
2020-02-21 00:00:00-05:00,175.677979447649,175.9944835447896,170.0001210262341,171.28530883789062,48572600,0.0,0.0,176.82988586425782,52.265550573208124,1.6111490870263685
2020-02-24 00:00:00-05:00,160.9079022403588,167.4105865878964,156.55358840288457,163.90028381347656,68311100,0.0,0.0,174.15302429199218,40.748355015621655,3.3094922448943684
2020-02-25 00:00:00-05:00,167.0748471906727,167.68866924636083,160.7927531714861,161.19558715820312,68073300,0.0,0.0,170.57558898925782,37.49000326813046,6.613449707000943
2020-02-26 00:00:00-05:00,162.76853988014406,166.17332632051043,161.32989277531036,163.209716796875,56206100,0.0,0.0,167.29355163574218,41.257018771306505,7.977366390363441
2020-02-27 00:00:00-05:00,156.6398912592596,160.1981366182778,151.51829685370356,151.71011352539062,93174900,0.0,0.0,162.26020202636718,30.102878947391687,6.579344556535814
2020-02-28 00:00:00-05:00,146.17612184427716,157.0139315893412,145.7828881730677,155.38345336914062,97012700,0.0,0.0,159.0798309326172,36.05043785309106,7.026410387302696
2020-03-02 00:00:00-05:00,158.54848535865258,165.8472216006757,155.67119140728485,165.7225341796875,71030800,0.0,0.0,159.44428100585938,49.16245569156943,5.309074528310904
